Admin2,Admin3,Admin4,Partner,prov,municip,brgy,loc_notes,date,Shelter Repair Beneficiaries Selected,"First Distribution (6,000 PHP)","Second Distribution (4,000 PHP)",CGI,Shelter Repair Closeout / Completed,Shelter Tool Kits,Sanitation Kits,Core Shelter Beneficiaries Selected,Construction Started,Wooden Shelter (Core Shelter),Half Concrete (Core Shelter),Core Shelter PDM,Relocation Beneficiaries Selected,Relocation Completed,Relocation PDM,Training- Skilled Labour
060400000,060409000,060409010,Finnish Red Cross,Aklan,Libacao,Guadalupe,,4/24/14,112,112,,,,,,,,,,,,,,
060400000,060409000,060409012,Finnish Red Cross,Aklan,Libacao,Julita,,4/26/14,79,79,,,,,,,,,,,,,,
060400000,060409000,060409017,Finnish Red Cross,Aklan,Libacao,Ortega,,4/26/14,38,38,,,,,,,,,,,,,,
060400000,060409000,060409022,Finnish Red Cross,Aklan,Libacao,Rivera,,4/26/14,15,15,,,,,,,,,,,,,,
060400000,060409000,060409019,Finnish Red Cross,Aklan,Libacao,Pampango,,4/29/14,95,95,,,,,,,,,,,,,,
060400000,060409000,060409023,Finnish Red Cross,Aklan,Libacao,Rosal,,4/29/14,52,52,,,,,,,,,,,,,,
060400000,060409000,060409004,Finnish Red Cross,Aklan,Libacao,Bonza,,5/30/14,22,22,,,,,,,,,,,,,,
060400000,060409000,060409005,Finnish Red Cross,Aklan,Libacao,Calacabian,,5/30/14,25,21,,,,,,,,,,,,,,
060400000,060409000,060409011,Finnish Red Cross,Aklan,Libacao,Janlud,,5/30/14,38,37,,,,,,,,,,,,,,
060400000,060409000,060409016,Finnish Red Cross,Aklan,Libacao,Ogsip,,5/30/14,40,39,,,,,,,,,,,,,,
060400000,060409000,060409020,Finnish Red Cross,Aklan,Libacao,Pinonoy,,5/30/14,61,60,,,,,,,,,,,,,,
060400000,060409000,060409002,Finnish Red Cross,Aklan,Libacao,Alfonso XII,,7/10/14,62,62,,,,,,,,,,,,,,
060400000,060409000,060409003,Finnish Red Cross,Aklan,Libacao,Batobato,,7/10/14,42,42,,,,,,,,,,,,,,
060400000,060409000,060409006,Finnish Red Cross,Aklan,Libacao,Calamcan,,7/10/14,53,52,,,,,,,,,,,,,,
060400000,060409000,060409007,Finnish Red Cross,Aklan,Libacao,Can-Awan,,7/10/14,16,16,,,,,,,,,,,,,,
060400000,060409000,060409013,Finnish Red Cross,Aklan,Libacao,Luctoga,,7/10/14,116,116,,,,,,,,,,,,,,
060400000,060409000,060409014,Finnish Red Cross,Aklan,Libacao,Magugba,,7/10/14,61,61,,,,,,,,,,,,,,
060400000,060409000,060409024,Finnish Red Cross,Aklan,Libacao,Sibalew,,7/10/14,56,56,,,,,,,,,,,,,,
060400000,060409000,060409001,Finnish Red Cross,Aklan,Libacao,Agmailig,,7/22/14,,,40,,,,,,,,,,,,,
060400000,060409000,060409005,Finnish Red Cross,Aklan,Libacao,Calacabian,,7/22/14,,4,,,,,,,,,,,,,,
060400000,060409000,060409008,Finnish Red Cross,Aklan,Libacao,Casit-an,,7/22/14,,,15,,,,,,,,,,,,,
060400000,060409000,060409010,Finnish Red Cross,Aklan,Libacao,Guadalupe,,7/22/14,,,111,,,,,,,,,,,,,
060400000,060409000,060409012,Finnish Red Cross,Aklan,Libacao,Julita,,7/22/14,,,78,,,,,,,,,,,,,
060400000,060409000,060409013,Finnish Red Cross,Aklan,Libacao,Luctoga,,7/22/14,,,114,,,,,,,,,,,,,
060400000,060409000,060409017,Finnish Red Cross,Aklan,Libacao,Ortega,,7/22/14,,,38,,,,,,,,,,,,,
060400000,060409000,060409019,Finnish Red Cross,Aklan,Libacao,Pampango,,7/22/14,,,93,,,,,,,,,,,,,
060400000,060409000,060409022,Finnish Red Cross,Aklan,Libacao,Rivera,,7/22/14,,,15,,,,,,,,,,,,,
060400000,060409000,060409023,Finnish Red Cross,Aklan,Libacao,Rosal,,7/22/14,,,52,,,,,,,,,,,,,
060400000,060409000,060409004,Finnish Red Cross,Aklan,Libacao,Bonza,,8/7/14,,,21,,,,,,,,,,,,,
060400000,060409000,060409005,Finnish Red Cross,Aklan,Libacao,Calacabian,,8/7/14,,,21,,,,,,,,,,,,,
060400000,060409000,060409011,Finnish Red Cross,Aklan,Libacao,Janlud,,8/7/14,,,37,,,,,,,,,,,,,
