Admin2,Admin3,Admin4,Partner,prov,municip,brgy,loc_notes,date,HH Support Beneficiaries Selected,"First Installment (conditional PHP 6,000)","Second Installment (conditional PHP 4,000)",HH Support PDM,Skills Dev Trainees Selected,Training Started,Training Completed,Trainees Placed,Selection of Enterprise,Beneficiary Submitted Business Plan,Enterprise Support Completed (cash transferred),Comm Proposals Submitted,Support Initiated,Project Turnover
060400000,060409000,060409017,Finnish Red Cross,Aklan,Libacao,Ortega,,4/26/14,28,28,,,,,,,,,,,,
060400000,060409000,060409017,Finnish Red Cross,Aklan,Libacao,Ortega,,7/22/14,,,27,,27,,,,,,,,,
060400000,060409000,060409019,Finnish Red Cross,Aklan,Libacao,Pampango,,4/29/14,22,22,,,,,,,,,,,,
060400000,060409000,060409019,Finnish Red Cross,Aklan,Libacao,Pampango,,7/22/14,,,22,,,,,,,,,,,
060400000,060409000,060409020,Finnish Red Cross,Aklan,Libacao,Pinonoy,,5/30/14,24,23,,,,,,,,,,,,
060400000,060409000,060409020,Finnish Red Cross,Aklan,Libacao,Pinonoy,,7/23/14,,,,,19,,,,,,,,,
060400000,060409000,060409022,Finnish Red Cross,Aklan,Libacao,Rivera,,4/26/14,16,16,,,,,,,,,,,,
060400000,060409000,060409022,Finnish Red Cross,Aklan,Libacao,Rivera,,7/22/14,,,16,,,,,,,,,,,
060400000,060409000,060409023,Finnish Red Cross,Aklan,Libacao,Rosal,,4/29/14,57,57,,,,,,,,,,,,
060400000,060409000,060409023,Finnish Red Cross,Aklan,Libacao,Rosal,,7/22/14,,,57,,,,,,,,,,,
060400000,060409000,060409024,Finnish Red Cross,Aklan,Libacao,Sibalew,,7/10/14,17,17,,,,,,,,,,,,
060400000,060410000,060410002,Spanish Red Cross,Aklan,Madalag,Alas-as,,,32,,,,,,,,,,,,,
060400000,060410000,060410003,Spanish Red Cross,Aklan,Madalag,Bacyang,,,44,,,,,,,,,,,,,
060400000,060410000,060410004,Spanish Red Cross,Aklan,Madalag,Balactasan,,,27,,,,,,,,,,,,,
060400000,060410000,060410005,Spanish Red Cross,Aklan,Madalag,Cabangahan,,,38,,,,,,,,,,,,,
060400000,060410000,060410006,Spanish Red Cross,Aklan,Madalag,Cabilawan,,,24,,,,,,,,,,,,,
060400000,060410000,060410007,Spanish Red Cross,Aklan,Madalag,Catabana,,,56,,,,,,,,,,,,,
060400000,060410000,060410008,Spanish Red Cross,Aklan,Madalag,Dit-Ana,,,50,,,,,,,,,,,,,
060400000,060410000,060410009,Spanish Red Cross,Aklan,Madalag,Galicia,,,26,,,,,,,,,,,,,
060400000,060410000,060410010,Spanish Red Cross,Aklan,Madalag,Guinatu-an,,,35,,,,,,,,,,,,,
060400000,060410000,060410011,Spanish Red Cross,Aklan,Madalag,Logohon,,,37,,,,,,,,,,,,,
060400000,060410000,060410012,Spanish Red Cross,Aklan,Madalag,Mamba,,,55,,,,,,,,,,,,,
060400000,060410000,060410014,Spanish Red Cross,Aklan,Madalag,Medina,,,72,,,,,,,,,,,,,
060400000,060410000,060410015,Spanish Red Cross,Aklan,Madalag,Mercedes,,,44,,,,,,,,,,,,,
060400000,060410000,060410016,Spanish Red Cross,Aklan,Madalag,Napnot,,,28,,,,,,,,,,,,,
060400000,060410000,060410017,Spanish Red Cross,Aklan,Madalag,Pang-Itan,,,55,,,,,,,,,,,,,
060400000,060410000,060410018,Spanish Red Cross,Aklan,Madalag,Paningayan,,,76,,,,,,,,,,,,,
060400000,060410000,060410021,Spanish Red Cross,Aklan,Madalag,San Jose,,,81,,,,,,,,,,,,,
060400000,060410000,060410022,Spanish Red Cross,Aklan,Madalag,Singay,,,26,,,,,,,,,,,,,
060400000,060410000,060410023,Spanish Red Cross,Aklan,Madalag,Talangban,,,43,,,,,,,,,,,,,
060400000,060410000,060410024,Spanish Red Cross,Aklan,Madalag,Talimagao,,,35,,,,,,,,,,,,,
060400000,060410000,060410025,Spanish Red Cross,Aklan,Madalag,Tigbawan,,,30,,,,,,,,,,,,,
060400000,060415000,060415001,IFRC,Aklan,New Washington,Candelaria,,7/3/14,36,36,,,,,,,,,,,,
060400000,060415000,060415003,IFRC,Aklan,New Washington,Dumaguit,,7/3/14,36,34,,,,,,,,,,,,
060400000,060415000,060415005,IFRC,Aklan,New Washington,Guinbaliwan,,7/3/14,150,142,,,,,,,,,,,,
060400000,060415000,060415006,IFRC,Aklan,New Washington,Jalas,,7/3/14,148,131,,,,,,,,,,,,
060400000,060415000,060415015,IFRC,Aklan,New Washington,Puis,,7/3/14,114,111,,,,,,,,,,,,
060600000,060602000,060602002,IFRC,Antique,Barbaza,Baghari,,6/30/14,40,,,,,,,,,,,,,
060600000,060602000,060602003,IFRC,Antique,Barbaza,Bahuyan,,6/14/14,45,,,,,,,,,,,,,
060600000,060602000,060602003,IFRC,Antique,Barbaza,Bahuyan,,6/26/14,,45,,,,,,,,,,,,
060600000,060602000,060602003,IFRC,Antique,Barbaza,Bahuyan,,7/1/14,18,,,,,,,,,,,,,
060600000,060602000,060602004,IFRC,Antique,Barbaza,Beri,,5/27/14,70,,,,,,,,,,,,,
060600000,060602000,060602004,IFRC,Antique,Barbaza,Beri,,6/26/14,,70,,,,,,,,,,,,
060600000,060602000,060602004,IFRC,Antique,Barbaza,Beri,,7/3/14,49,,,,,,,,,,,,,
060600000,060602000,060602007,IFRC,Antique,Barbaza,Binangbang Centro,,5/29/14,69,,,,,,,,,,,,,
060600000,060602000,060602007,IFRC,Antique,Barbaza,Binangbang Centro,,6/26/14,,69,,,,,,,,,,,,
060600000,060602000,060602007,IFRC,Antique,Barbaza,Binangbang Centro,,7/1/14,8,,,,,,,,,,,,,
060600000,060602000,060602008,IFRC,Antique,Barbaza,Binanu-an,,7/4/14,36,,,,,,,,,,,,,
060600000,060602000,060602012,IFRC,Antique,Barbaza,Cubay,,6/18/14,48,,,,,,,,,,,,,
060600000,060602000,060602012,IFRC,Antique,Barbaza,Cubay,,6/26/14,,48,,,,,,,,,,,,
060600000,060602000,060602012,IFRC,Antique,Barbaza,Cubay,,7/2/14,18,,,,,,,,,,,,,
060600000,060602000,060602018,IFRC,Antique,Barbaza,Embrangga-an,,7/4/14,23,,,,,,,,,,,,,
060600000,060602000,060602014,IFRC,Antique,Barbaza,Gua,,6/12/14,66,,,,,,,,,,,,,
060600000,060602000,060602014,IFRC,Antique,Barbaza,Gua,,6/26/14,,66,,,,,,,,,,,,
060600000,060602000,060602014,IFRC,Antique,Barbaza,Gua,,7/1/14,16,,,,,,,,,,,,,
060600000,060602000,060602020,IFRC,Antique,Barbaza,Ipil,,6/19/14,31,,,,,,,,,,,,,
060600000,060602000,060602020,IFRC,Antique,Barbaza,Ipil,,6/26/14,,31,,,,,,,,,,,,
060600000,060602000,060602020,IFRC,Antique,Barbaza,Ipil,,7/1/14,76,,,,,,,,,,,,,
060600000,060602000,060602021,IFRC,Antique,Barbaza,Jinalinan,,6/11/14,110,,,,,,,,,,,,,
060600000,060602000,060602021,IFRC,Antique,Barbaza,Jinalinan,,6/26/14,,109,,,,,,,,,,,,
060600000,060602000,060602021,IFRC,Antique,Barbaza,Jinalinan,,7/9/14,43,,,,,,,,,,,,,
