web_code,location,_location_latitude,_location_longitude,_location_altitude,_location_precision,today,start_time,end_time,meta/instanceID,_uuid,_submission_time
A_PH072209012_00020,11.18712435315414 123.74040873514937 91.51621246725196 4.0,11.18712435,123.7404087,91.51621247,4,7/7/14,null,null,uuid:b5c7e29f-c990-47f2-9c80-86a832483d47,b5c7e29f-c990-47f2-9c80-86a832483d47,2014-07-07T09:09:38
A_PH072209012_00019,11.187025888727076 123.74048926550014 96.45240719380804 8.0,11.18702589,123.7404893,96.45240719,8,1/11/07,null,null,uuid:c82b4f68-0b83-4dce-bedb-f422c8b5de92,c82b4f68-0b83-4dce-bedb-f422c8b5de92,2014-07-08T00:08:08
A_PH072209012_00016,11.179748641100105 123.73770475042733 76.09996969835117 16.0,11.17974864,123.7377048,76.0999697,16,7/10/14,null,null,uuid:5b2fe299-12af-4e61-b8b5-af4988424ed3,5b2fe299-12af-4e61-b8b5-af4988424ed3,2014-07-14T06:42:36
A_PH072209012_00021,11.186078672682601 123.74155472926097 85.40907543090125 8.0,11.18607867,123.7415547,85.40907543,8,7/10/14,null,null,uuid:468f6909-7a3e-40b2-9c62-0bb93aa84991,468f6909-7a3e-40b2-9c62-0bb93aa84991,2014-07-14T06:42:10
A_PH072209012_00028,11.190505378478957 123.73582476848306 93.67540189726462 8.0,11.19050538,123.7358248,93.6754019,8,7/28/14,null,null,uuid:0766381e-57df-4c36-ab7b-2370e0bd57bc,0766381e-57df-4c36-ab7b-2370e0bd57bc,2014-07-28T08:35:30
A_PH072209012_00038,11.178432353336369 123.73791258149117 80.62678228582456 8.0,11.17843235,123.7379126,80.62678229,8,7/27/14,null,null,uuid:158b565a-2c02-4228-ba9c-3746c9b5d202,158b565a-2c02-4228-ba9c-3746c9b5d202,2014-07-28T08:32:46
A_PH072209012_00041,11.186994075139728 123.73532698152172 118.77559103184717 8.0,11.18699408,123.735327,118.775591,8,7/28/14,null,null,uuid:cc50bd7e-8205-46ef-b4de-04564428ea96,cc50bd7e-8205-46ef-b4de-04564428ea96,2014-07-28T08:33:23
A_PH072209012_00018,11.186676147300286 123.7389215913329 87.7157885147304 32.0,11.18667615,123.7389216,87.71578851,32,1/11/07,null,null,uuid:ea620c7f-8c86-41c3-bc4b-a66ff5ff7ee5,ea620c7f-8c86-41c3-bc4b-a66ff5ff7ee5,2014-07-08T00:05:48
A_PH072209012_00017,11.186516956910738 123.73898874819794 91.33449740900411 12.0,11.18651696,123.7389887,91.33449741,12,1/11/07,null,null,uuid:e9b471fb-a30f-44a1-940a-d56569dfadde,e9b471fb-a30f-44a1-940a-d56569dfadde,2014-07-08T00:08:09
A_PH072209012_00056,11.187776678339079 123.73543877705453 -70.16936619270523 32.0,11.18777668,123.7354388,-70.16936619,32,7/28/14,null,null,uuid:2119a00c-e21f-4a52-915c-35321a360453,2119a00c-e21f-4a52-915c-35321a360453,2014-07-28T08:34:51
