sex,age,heard_of,sectionA_prc_response,sectionA_prc_prepare,sectionA_prc_top,sectionA_prc_yolanda,sectionA_rcrc_principles_humanity,sectionA_rcrc_principles_impartiality,sectionA_rcrc_principles_neutrality,sectionA_rcrc_principles_independence,sectionA_rcrc_principles_voluntary,sectionA_rcrc_principles_unity,sectionA_rcrc_principles_universality,sectionA_rcrc_principles_dk,sectionA_prc_services_dms,sectionA_prc_services_blood,sectionA_prc_services_safety,sectionA_prc_services_health,sectionA_prc_services_social,sectionA_prc_services_volunteer,sectionA_prc_services_ihl,sectionA_prc_services_other,sectionA_prc_services_dk,sectionA_prc_services_other,sectionB_donor_items,sectionB_items_freq,sectionB_donor_money,sectionB_money_freq,sectionB_donor_blood,sectionB_blood_freq,sectionB_volunteer,sectionB_volunteer_freq,sectionB_member,sectionB_member_type,sectionB_member_length,picture_question,picture_consent,picture_image,interview_location,_interview_location_latitude,_interview_location_longitude,_interview_location_altitude,_interview_location_precision,deviceid,start,end,today,meta_instanceID,_uuid,_submission_time
female,22,yes,neither,agree,agree,agree,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,n/a,no,n/a,no,n/a,no,n/a,no,n/a,no,n/a,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8.66242E+14,2014-05-28T10:01:29.345+08,2014-05-28T10:08:19.146+08,5/28/14,uuid:81c0d76f-7792-4d55-9425-072d4d26e3c6,81c0d76f-7792-4d55-9425-072d4d26e3c6,2014-05-28T03:00:23
male,20,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,yes,1401241253657.jpg,1401241269211.jpg,14.574764546605795 120.98490481308988 93.46130734165305 8.0,14.57476455,120.9849048,93.46130734,8,3.53408E+14,2014-05-28T09:39:17.290+08,2014-05-28T09:45:19.502+08,5/28/14,uuid:80f72fcb-4a14-4182-98d0-3c280eb53d24,80f72fcb-4a14-4182-98d0-3c280eb53d24,2014-05-28T02:53:12
male,31,yes,agree,agree,agree,agree,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,n/a,no,n/a,no,n/a,no,n/a,no,n/a,no,n/a,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.53408E+14,2014-05-28T10:36:31.951+08,2014-05-28T10:37:59.825+08,5/28/14,uuid:74d96bf8-78e7-4ed3-be6e-b50efc99b9aa,74d96bf8-78e7-4ed3-be6e-b50efc99b9aa,2014-05-28T02:51:15
female,38,yes,strongly_disagree,strongly_disagree,agree,strongly_disagree,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,n/a,no,n/a,no,n/a,no,n/a,no,n/a,no,n/a,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.53408E+14,2014-05-28T10:05:04.828+08,2014-05-28T10:21:30.270+08,5/28/14,uuid:7ac601aa-5929-4646-ad08-bf5691e882b1,7ac601aa-5929-4646-ad08-bf5691e882b1,2014-05-28T02:51:05
male,30,yes,agree,dontknow,agree,dontknow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,n/a,no,n/a,yes,twofive,no,n/a,no,n/a,no,n/a,n/a,yes,1401241188949.jpg,1401241207413.jpg,14.576259626740766 120.98697593622128 97.6133004573078 128.0,14.57625963,120.9869759,97.61330046,128,3.53408E+14,2014-05-28T09:35:37.214+08,2014-05-28T09:43:04.425+08,5/28/14,uuid:3290f246-073f-47ce-ac96-8513cddfd53f,3290f246-073f-47ce-ac96-8513cddfd53f,2014-05-28T02:29:49
male,45,yes,agree,agree,strongly_agree,strongly_agree,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,n/a,no,n/a,no,n/a,yes,twofive,no,n/a,no,n/a,n/a,yes,1401241782394.jpg,1401241806590.jpg,n/a,n/a,n/a,n/a,n/a,3.53408E+14,2014-05-28T09:47:43.370+08,2014-05-28T09:50:25.865+08,5/28/14,uuid:2ff6521c-eb2f-4a22-8427-d68da94cd032,2ff6521c-eb2f-4a22-8427-d68da94cd032,2014-05-28T02:29:35
male,34,yes,agree,agree,agree,agree,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,n/a,yes,one,no,n/a,yes,twofive,no,n/a,no,n/a,n/a,yes,1401241462696.jpg,1401241477263.jpg,n/a,n/a,n/a,n/a,n/a,3.53408E+14,2014-05-28T09:43:19.994+08,2014-05-28T09:44:42.581+08,5/28/14,uuid:ace3e07f-2bde-450c-8624-fa5753bda33b,ace3e07f-2bde-450c-8624-fa5753bda33b,2014-05-28T02:29:18
female,36,yes,strongly_agree,strongly_agree,strongly_agree,agree,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,n/a,yes,one,no,n/a,no,n/a,yes,one,no,n/a,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.53408E+14,2014-05-28T10:30:14.234+08,2014-05-28T10:31:36.079+08,5/28/14,uuid:20fe135a-eee2-4eb5-8e33-9ce20238db4f,20fe135a-eee2-4eb5-8e33-9ce20238db4f,2014-05-28T02:51:14
female,32,yes,strongly_agree,strongly_agree,strongly_agree,strongly_agree,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,n/a,yes,one,no,n/a,yes,one,yes,one,no,n/a,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.53408E+14,2014-05-28T10:27:17.279+08,2014-05-28T10:29:10.794+08,5/28/14,uuid:09d0b746-2944-4dbc-8d1d-6397e4e945b2,09d0b746-2944-4dbc-8d1d-6397e4e945b2,2014-05-28T02:51:14
male,45,yes,strongly_disagree,strongly_disagree,agree,strongly_agree,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,n/a,no,n/a,yes,twofive,no,n/a,no,n/a,no,n/a,n/a,yes,1401241345784.jpg,1401241378157.jpg,n/a,n/a,n/a,n/a,n/a,3.53408E+14,2014-05-28T09:36:27.586+08,2014-05-28T09:43:16.290+08,5/28/14,uuid:6e7d2c51-d74e-4b0d-8a91-84ed33681cff,6e7d2c51-d74e-4b0d-8a91-84ed33681cff,2014-05-28T02:28:59
female,20,yes,agree,disagree,agree,disagree,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,n/a,no,n/a,no,n/a,no,n/a,no,n/a,yes,bronze,1,yes,1401241803848.jpg,1401241818671.jpg,14.574665567953263 120.98443053461928 91.49344129333662 16.0,14.57466557,120.9844305,91.49344129,16,3.52218E+14,2014-05-28T09:35:29.221+08,2014-05-28T09:51:07.143+08,5/28/14,uuid:00551422-eef7-4dfa-8bde-d3d2edbbae20,00551422-eef7-4dfa-8bde-d3d2edbbae20,2014-05-28T02:27:33
male,60,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,no,n/a,n/a,14.574497787264809 120.98555927540521 1.521343789903477 16.0,14.57449779,120.9855593,1.52134379,16,3.53408E+14,2014-05-28T09:12:41.501+08,2014-05-28T09:39:55.804+08,5/28/14,uuid:05871d15-aec2-45aa-8794-8fde41163dd9,05871d15-aec2-45aa-8794-8fde41163dd9,2014-05-28T02:43:54
male,27,yes,agree,agree,agree,agree,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,n/a,no,n/a,yes,twofive,no,n/a,no,n/a,no,n/a,n/a,no,n/a,n/a,14.574540815321042 120.9853117893854 4.459279103170289 24.0,14.57454082,120.9853118,4.459279103,24,3.53408E+14,2014-05-28T10:20:41.220+08,2014-05-28T10:24:04.417+08,5/28/14,uuid:2385baec-5121-48d3-96a3-a73ac9f1ef73,2385baec-5121-48d3-96a3-a73ac9f1ef73,2014-05-28T02:44:17
male,27,yes,strongly_agree,agree,strongly_agree,agree,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,n/a,no,n/a,no,n/a,no,n/a,no,n/a,no,n/a,n/a,no,n/a,n/a,14.574186745565267 120.98509691849402 153.45146950394997 12.0,14.57418675,120.9850969,153.4514695,12,3.52218E+14,2014-05-28T09:54:32.265+08,2014-05-28T09:57:39.240+08,5/28/14,uuid:9e085874-df1c-4f6d-9e25-a474289d3bf2,9e085874-df1c-4f6d-9e25-a474289d3bf2,2014-05-28T02:38:24
